date,home_team,away_team,home_goals,away_goals,status,season
2021-05-29T22:00:00+00:00,Cuiaba,Juventude,2,2,Match Finished,2021
2021-05-29T23:00:00+00:00,Bahia,Santos,3,0,Match Finished,2021
2021-05-30T00:00:00+00:00,Sao Paulo,Fluminense,0,0,Match Finished,2021
2021-05-30T14:00:00+00:00,Atletico-MG,Fortaleza EC,1,2,Match Finished,2021
2021-05-30T19:00:00+00:00,Flamengo,Palmeiras,1,0,Match Finished,2021
2021-05-30T19:00:00+00:00,Ceara,Gremio,3,2,Match Finished,2021
2021-05-30T21:15:00+00:00,Corinthians,Atletico Goianiense,0,1,Match Finished,2021
2021-05-30T21:15:00+00:00,Chapecoense-sc,RB Bragantino,0,3,Match Finished,2021
2021-05-30T21:15:00+00:00,Atletico Paranaense,America Mineiro,1,0,Match Finished,2021
2021-05-30T23:30:00+00:00,Internacional,Sport Recife,2,2,Match Finished,2021
2021-06-05T22:00:00+00:00,Atletico Goianiense,Sao Paulo,2,0,Match Finished,2021
2021-06-06T00:00:00+00:00,Santos,Ceara,3,1,Match Finished,2021
2021-06-06T00:00:00+00:00,RB Bragantino,Bahia,3,3,Match Finished,2021
2021-06-06T14:00:00+00:00,Fluminense,Cuiaba,1,0,Match Finished,2021
2021-06-06T19:00:00+00:00,America Mineiro,Corinthians,0,1,Match Finished,2021
2021-06-06T19:00:00+00:00,Fortaleza EC,Internacional,5,1,Match Finished,2021
2021-06-06T21:15:00+00:00,Palmeiras,Chapecoense-sc,3,1,Match Finished,2021
2021-06-06T21:15:00+00:00,Juventude,Atletico Paranaense,0,3,Match Finished,2021
2021-06-06T23:30:00+00:00,Sport Recife,Atletico-MG,0,1,Match Finished,2021
2021-06-12T22:00:00+00:00,Palmeiras,Corinthians,1,1,Match Finished,2021
2021-06-12T22:00:00+00:00,Santos,Juventude,0,0,Match Finished,2021
2021-06-13T19:00:00+00:00,Flamengo,America Mineiro,2,0,Match Finished,2021
2021-06-13T19:00:00+00:00,Gremio,Atletico Paranaense,0,1,Match Finished,2021
2021-06-13T19:00:00+00:00,Atletico-MG,Sao Paulo,1,0,Match Finished,2021
2021-06-13T23:30:00+00:00,Bahia,Internacional,0,1,Match Finished,2021
2021-06-13T23:30:00+00:00,Chapecoense-sc,Ceara,0,0,Match Finished,2021
