position,team,points,played,won,draw,lost,goals_for,goals_against,goals_diff,season
1,Atletico-MG,84,38,26,6,6,67,34,33,2021
2,Flamengo,71,38,21,8,9,69,36,33,2021
3,Palmeiras,66,38,20,6,12,58,43,15,2021
4,Fortaleza EC,58,38,17,7,14,44,45,-1,2021
5,Corinthians,57,38,15,12,11,40,36,4,2021
6,RB Bragantino,56,38,14,14,10,55,46,9,2021
7,Fluminense,54,38,15,9,14,38,38,0,2021
8,America Mineiro,53,38,13,14,11,41,37,4,2021
9,Atletico Goianiense,53,38,13,14,11,33,36,-3,2021
10,Santos,50,38,12,14,12,35,40,-5,2021
11,Ceara,50,38,11,17,10,39,38,1,2021
12,Internacional,48,38,12,12,14,44,42,2,2021
13,Sao Paulo,48,38,11,15,12,31,39,-8,2021
14,Atletico Paranaense,47,38,13,8,17,41,45,-4,2021
15,Cuiaba,47,38,10,17,11,34,37,-3,2021
16,Juventude,46,38,11,13,14,36,44,-8,2021
17,Gremio,43,38,12,7,19,44,51,-7,2021
18,Bahia,43,38,11,10,17,42,51,-9,2021
19,Sport Recife,38,38,9,11,18,24,37,-13,2021
20,Chapecoense-sc,15,38,1,12,25,27,67,-40,2021
1,Palmeiras,81,38,23,12,3,66,27,39,2022
2,Internacional,73,38,20,13,5,58,31,27,2022
3,Fluminense,70,38,21,7,10,63,41,22,2022
4,Corinthians,65,38,18,11,9,44,36,8,2022
5,Flamengo,62,38,18,8,12,60,39,21,2022
6,Atletico Paranaense,58,38,16,10,12,48,48,0,2022
7,Atletico-MG,58,38,15,13,10,45,37,8,2022
8,Fortaleza EC,55,38,15,10,13,46,39,7,2022
9,Sao Paulo,54,38,13,15,10,55,42,13,2022
10,America Mineiro,53,38,15,8,15,40,40,0,2022
11,Botafogo,53,38,15,8,15,41,43,-2,2022
12,Santos,47,38,12,11,15,44,41,3,2022
13,Goias,46,38,11,13,14,40,53,-13,2022
14,RB Bragantino,44,38,11,11,16,49,59,-10,2022
15,Coritiba,42,38,12,6,20,39,60,-21,2022
16,Cuiaba,41,38,10,11,17,31,42,-11,2022
17,Ceara,37,38,7,16,15,34,41,-7,2022
18,Atletico Goianiense,36,38,8,12,18,39,57,-18,2022
19,Avai,35,38,9,8,21,34,60,-26,2022
20,Juventude,22,38,3,13,22,29,69,-40,2022
1,Palmeiras,70,38,20,10,8,64,33,31,2023
2,Gremio,68,38,21,5,12,63,56,7,2023
3,Atletico-MG,66,38,19,9,10,52,32,20,2023
4,Flamengo,66,38,19,9,10,56,42,14,2023
5,Botafogo,64,38,18,10,10,58,37,21,2023
6,RB Bragantino,62,38,17,11,10,49,35,14,2023
7,Fluminense,56,38,16,8,14,51,47,4,2023
8,Atletico Paranaense,56,38,14,14,10,51,43,8,2023
9,Internacional,55,38,15,10,13,46,45,1,2023
10,Fortaleza EC,54,38,15,9,14,45,44,1,2023
11,Sao Paulo,53,38,14,11,13,40,38,2,2023
12,Cuiaba,51,38,14,9,15,40,39,1,2023
13,Corinthians,50,38,12,14,12,47,48,-1,2023
14,Cruzeiro,47,38,11,14,13,35,32,3,2023
15,Vasco DA Gama,45,38,12,9,17,41,51,-10,2023
16,Bahia,44,38,12,8,18,50,53,-3,2023
17,Santos,43,38,11,10,17,39,64,-25,2023
18,Goias,38,38,9,11,18,36,53,-17,2023
19,Coritiba,30,38,8,6,24,41,73,-32,2023
20,America Mineiro,24,38,5,9,24,42,81,-39,2023
