date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-05-29 22:00:00+00:00,Cuiaba,Juventude,0.2631578947368421,0.2894736842105263,-3,-8,47,46
2021-05-29 23:00:00+00:00,Bahia,Santos,0.2894736842105263,0.3157894736842105,-9,-5,43,50
2021-05-30 00:00:00+00:00,Sao Paulo,Fluminense,0.2894736842105263,0.39473684210526316,-8,0,48,54
2021-05-30 14:00:00+00:00,Atletico-MG,Fortaleza EC,0.6842105263157895,0.4473684210526316,33,-1,84,58
2021-05-30 19:00:00+00:00,Flamengo,Palmeiras,0.5526315789473685,0.5263157894736842,33,15,71,66
2021-05-30 19:00:00+00:00,Ceara,Gremio,0.2894736842105263,0.3157894736842105,1,-7,50,43
2021-05-30 21:15:00+00:00,Corinthians,Atletico Goianiense,0.39473684210526316,0.34210526315789475,4,-3,57,53
2021-05-30 21:15:00+00:00,Chapecoense-sc,RB Bragantino,0.02631578947368421,0.3684210526315789,-40,9,15,56
2021-05-30 21:15:00+00:00,Atletico Paranaense,America Mineiro,0.34210526315789475,0.34210526315789475,-4,4,47,53
2021-05-30 23:30:00+00:00,Internacional,Sport Recife,0.3157894736842105,0.23684210526315788,2,-13,48,38
2021-06-05 22:00:00+00:00,Atletico Goianiense,Sao Paulo,0.34210526315789475,0.2894736842105263,-3,-8,53,48
2021-06-06 00:00:00+00:00,Santos,Ceara,0.3157894736842105,0.2894736842105263,-5,1,50,50
2021-06-06 00:00:00+00:00,RB Bragantino,Bahia,0.3684210526315789,0.2894736842105263,9,-9,56,43
2021-06-06 14:00:00+00:00,Fluminense,Cuiaba,0.39473684210526316,0.2631578947368421,0,-3,54,47
2021-06-06 19:00:00+00:00,America Mineiro,Corinthians,0.34210526315789475,0.39473684210526316,4,4,53,57
2021-06-06 19:00:00+00:00,Fortaleza EC,Internacional,0.4473684210526316,0.3157894736842105,-1,2,58,48
2021-06-06 21:15:00+00:00,Palmeiras,Chapecoense-sc,0.5263157894736842,0.02631578947368421,15,-40,66,15
2021-06-06 21:15:00+00:00,Juventude,Atletico Paranaense,0.2894736842105263,0.34210526315789475,-8,-4,46,47
