date,home_team,away_team,home_goals,away_goals,status,season
2023-04-15T19:00:00+00:00,Palmeiras,Cuiaba,2,1,Match Finished,2023
2023-04-15T19:00:00+00:00,America Mineiro,Fluminense,0,3,Match Finished,2023
2023-04-15T21:30:00+00:00,Botafogo,Sao Paulo,2,1,Match Finished,2023
2023-04-15T21:30:00+00:00,Atletico Paranaense,Goias,2,0,Match Finished,2023
2023-04-15T21:30:00+00:00,Fortaleza EC,Internacional,1,1,Match Finished,2023
2023-04-15T21:30:00+00:00,RB Bragantino,Bahia,2,1,Match Finished,2023
2023-04-16T00:00:00+00:00,Atletico-MG,Vasco DA Gama,1,2,Match Finished,2023
2023-04-16T19:00:00+00:00,Flamengo,Coritiba,3,0,Match Finished,2023
2023-04-16T19:00:00+00:00,Corinthians,Cruzeiro,2,1,Match Finished,2023
2023-04-16T21:30:00+00:00,Gremio,Santos,1,0,Match Finished,2023
2023-04-22T19:00:00+00:00,Fluminense,Atletico Paranaense,2,0,Match Finished,2023
2023-04-22T21:30:00+00:00,Sao Paulo,America Mineiro,3,0,Match Finished,2023
2023-04-22T21:30:00+00:00,Cuiaba,RB Bragantino,1,1,Match Finished,2023
2023-04-23T00:00:00+00:00,Cruzeiro,Gremio,1,0,Match Finished,2023
2023-04-23T14:00:00+00:00,Internacional,Flamengo,2,1,Match Finished,2023
2023-04-23T19:00:00+00:00,Santos,Atletico-MG,0,0,Match Finished,2023
2023-04-23T19:00:00+00:00,Vasco DA Gama,Palmeiras,2,2,Match Finished,2023
2023-04-23T21:30:00+00:00,Coritiba,Fortaleza EC,0,3,Match Finished,2023
2023-04-23T22:00:00+00:00,Goias,Corinthians,3,1,Match Finished,2023
2023-04-24T23:00:00+00:00,Bahia,Botafogo,1,2,Match Finished,2023
2023-04-29T19:30:00+00:00,Coritiba,Sao Paulo,1,1,Match Finished,2023
2023-04-29T19:30:00+00:00,Fortaleza EC,Fluminense,4,2,Match Finished,2023
2023-04-29T21:30:00+00:00,Palmeiras,Corinthians,2,1,Match Finished,2023
2023-04-29T21:30:00+00:00,Santos,America Mineiro,3,2,Match Finished,2023
2023-04-29T21:30:00+00:00,RB Bragantino,Cruzeiro,0,3,Match Finished,2023
2023-04-30T00:00:00+00:00,Atletico-MG,Atletico Paranaense,2,1,Match Finished,2023
2023-04-30T19:00:00+00:00,Flamengo,Botafogo,2,3,Match Finished,2023
2023-04-30T21:30:00+00:00,Internacional,Goias,1,0,Match Finished,2023
2023-04-30T21:30:00+00:00,Cuiaba,Gremio,1,2,Match Finished,2023
2023-05-01T23:00:00+00:00,Vasco DA Gama,Bahia,0,1,Match Finished,2023
2023-05-06T19:00:00+00:00,Cruzeiro,Santos,2,1,Match Finished,2023
2023-05-07T00:00:00+00:00,Fluminense,Vasco DA Gama,1,1,Match Finished,2023
2023-05-07T14:00:00+00:00,America Mineiro,Cuiaba,1,2,Match Finished,2023
2023-05-07T19:00:00+00:00,Bahia,Coritiba,3,1,Match Finished,2023
2023-05-07T19:00:00+00:00,Sao Paulo,Internacional,2,0,Match Finished,2023
2023-05-07T19:00:00+00:00,Atletico Paranaense,Flamengo,2,1,Match Finished,2023
2023-05-07T21:30:00+00:00,Botafogo,Atletico-MG,2,0,Match Finished,2023
2023-05-07T21:30:00+00:00,Gremio,RB Bragantino,3,3,Match Finished,2023
2023-05-07T21:30:00+00:00,Goias,Palmeiras,0,5,Match Finished,2023
2023-05-08T23:00:00+00:00,Corinthians,Fortaleza EC,1,1,Match Finished,2023
2023-05-10T22:00:00+00:00,Internacional,Atletico Paranaense,0,2,Match Finished,2023
2023-05-10T22:00:00+00:00,Santos,Bahia,3,0,Match Finished,2023
2023-05-10T22:00:00+00:00,RB Bragantino,America Mineiro,2,2,Match Finished,2023
2023-05-10T23:00:00+00:00,Flamengo,Goias,2,0,Match Finished,2023
2023-05-10T23:00:00+00:00,Cuiaba,Atletico-MG,0,4,Match Finished,2023
2023-05-11T00:30:00+00:00,Palmeiras,Gremio,4,1,Match Finished,2023
2023-05-11T00:30:00+00:00,Cruzeiro,Fluminense,0,2,Match Finished,2023
2023-05-11T22:00:00+00:00,Coritiba,Vasco DA Gama,1,1,Match Finished,2023
2023-05-11T22:30:00+00:00,Botafogo,Corinthians,3,0,Match Finished,2023
2023-05-11T23:00:00+00:00,Fortaleza EC,Sao Paulo,0,0,Match Finished,2023
2023-05-13T19:00:00+00:00,Bahia,Flamengo,2,3,Match Finished,2023
2023-05-13T21:30:00+00:00,Palmeiras,RB Bragantino,1,1,Match Finished,2023
2023-05-13T21:30:00+00:00,Fluminense,Cuiaba,2,0,Match Finished,2023
2023-05-14T00:00:00+00:00,Atletico-MG,Internacional,2,0,Match Finished,2023
2023-05-14T19:00:00+00:00,Gremio,Fortaleza EC,0,0,Match Finished,2023
2023-05-14T19:00:00+00:00,Corinthians,Sao Paulo,1,1,Match Finished,2023
2023-05-14T19:00:00+00:00,Vasco DA Gama,Santos,0,1,Match Finished,2023
2023-05-14T21:30:00+00:00,America Mineiro,Cruzeiro,0,4,Match Finished,2023
2023-05-14T21:30:00+00:00,Atletico Paranaense,Coritiba,3,2,Match Finished,2023
2023-05-14T21:30:00+00:00,Goias,Botafogo,2,1,Match Finished,2023
2023-05-20T19:00:00+00:00,Bahia,Goias,1,1,Match Finished,2023
2023-05-20T21:30:00+00:00,Botafogo,Fluminense,1,0,Match Finished,2023
2023-05-20T21:30:00+00:00,America Mineiro,Fortaleza EC,2,1,Match Finished,2023
2023-05-20T21:30:00+00:00,Sao Paulo,Vasco DA Gama,4,2,Match Finished,2023
2023-05-20T21:30:00+00:00,Coritiba,Atletico-MG,1,2,Match Finished,2023
2023-05-20T21:30:00+00:00,RB Bragantino,Atletico Paranaense,2,0,Match Finished,2023
2023-05-21T00:00:00+00:00,Santos,Palmeiras,0,0,Match Finished,2023
2023-05-21T19:00:00+00:00,Flamengo,Corinthians,1,0,Match Finished,2023
2023-05-21T21:30:00+00:00,Gremio,Internacional,3,1,Match Finished,2023
2023-05-22T23:00:00+00:00,Cruzeiro,Cuiaba,0,1,Match Finished,2023
2023-05-27T19:00:00+00:00,Atletico Paranaense,Gremio,1,2,Match Finished,2023
2023-05-27T19:00:00+00:00,Fortaleza EC,Vasco DA Gama,2,0,Match Finished,2023
2023-05-27T21:30:00+00:00,Flamengo,Cruzeiro,1,1,Match Finished,2023
