position,team,points,played,won,draw,lost,goals_for,goals_against,goals_diff,season
1,Palmeiras,70,38,20,10,8,64,33,31,2023
2,Gremio,68,38,21,5,12,63,56,7,2023
3,Atletico-MG,66,38,19,9,10,52,32,20,2023
4,Flamengo,66,38,19,9,10,56,42,14,2023
5,Botafogo,64,38,18,10,10,58,37,21,2023
6,RB Bragantino,62,38,17,11,10,49,35,14,2023
7,Fluminense,56,38,16,8,14,51,47,4,2023
8,Atletico Paranaense,56,38,14,14,10,51,43,8,2023
9,Internacional,55,38,15,10,13,46,45,1,2023
10,Fortaleza EC,54,38,15,9,14,45,44,1,2023
11,Sao Paulo,53,38,14,11,13,40,38,2,2023
12,Cuiaba,51,38,14,9,15,40,39,1,2023
13,Corinthians,50,38,12,14,12,47,48,-1,2023
14,Cruzeiro,47,38,11,14,13,35,32,3,2023
15,Vasco DA Gama,45,38,12,9,17,41,51,-10,2023
16,Bahia,44,38,12,8,18,50,53,-3,2023
17,Santos,43,38,11,10,17,39,64,-25,2023
18,Goias,38,38,9,11,18,36,53,-17,2023
19,Coritiba,30,38,8,6,24,41,73,-32,2023
20,America Mineiro,24,38,5,9,24,42,81,-39,2023
